time,mean_sst,min_sst,max_sst
0,300.36166,285.02673,305.46317
1,300.27835,284.88022,305.7928
2,300.2375,284.92172,305.41187
3,300.18393,284.50177,305.2312
4,300.1699,284.2747,304.87228
5,300.00143,285.13904,304.6916
6,299.90988,285.1073,304.67938
7,299.87506,284.9388,304.6281
8,299.8064,285.03894,304.49384
9,299.54443,285.31482,304.4084
10,299.5313,284.77768,304.25943
11,299.42856,284.60675,304.33755
12,299.2427,285.07312,304.87717
13,299.1233,284.5799,305.52908
14,299.04077,283.89868,306.62537
15,298.9628,284.37482,308.17825
16,298.95264,284.7093,308.92294
17,298.98776,284.6092,309.32336
18,299.07098,284.64337,308.57135
19,299.06943,285.02917,308.879
20,299.0501,285.02917,307.90967
21,299.0081,284.68488,307.3676
22,299.11047,284.36017,306.64246
23,299.45074,283.96216,304.99924
